날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.04.02,일,14:00,고척 스카이돔,키움,7,한화,6,True,페넌트레이스
2023.04.02,일,14:00,인천 SSG 랜더스 필드,SSG,5,KIA,9,False,페넌트레이스
2023.04.02,일,14:00,수원 케이티위즈 파크,KT,9,LG,10,True,페넌트레이스
2023.04.02,일,14:00,잠실야구장,두산,0,롯데,2,False,페넌트레이스
2023.04.02,일,14:00,대구 삼성 라이온즈 파크,삼성,8,NC,6,True,페넌트레이스
2023.04.04,화,18:30,대구 삼성 라이온즈 파크,삼성,7,한화,6,True,페넌트레이스
2023.04.04,화,18:30,수원 케이티위즈 파크,-,KT  -,경기취소,KIA,True,페넌트레이스
2023.04.04,화,18:30,고척 스카이돔,키움,1,LG,7,False,페넌트레이스
2023.04.04,화,18:30,인천 SSG 랜더스 필드,SSG,3,롯데,1,True,페넌트레이스
2023.04.04,화,18:30,잠실야구장,두산,1,NC,0,True,페넌트레이스
2023.04.05,수,18:30,대구 삼성 라이온즈 파크,-,삼성  -,경기취소,한화,False,페넌트레이스
2023.04.05,수,18:30,수원 케이티위즈 파크,-,KT  -,경기취소,KIA,True,페넌트레이스
2023.04.05,수,18:30,고척 스카이돔,키움,2,LG,1,True,페넌트레이스
2023.04.05,수,18:30,인천 SSG 랜더스 필드,-,SSG  -,경기취소,롯데,False,페넌트레이스
2023.04.05,수,18:30,잠실야구장,두산,3,NC,9,False,페넌트레이스
2023.04.06,목,18:30,대구 삼성 라이온즈 파크,삼성,1,한화,8,False,페넌트레이스
2023.04.06,목,18:30,수원 케이티위즈 파크,-,KT  -,경기취소,KIA,True,페넌트레이스
2023.04.06,목,18:30,고척 스카이돔,키움,0,LG,5,False,페넌트레이스
2023.04.06,목,18:30,인천 SSG 랜더스 필드,-,SSG  -,경기취소,롯데,False,페넌트레이스
2023.04.06,목,18:30,잠실야구장,두산,6,NC,2,True,페넌트레이스
2023.04.07,금,18:30,사직야구장,롯데,1,KT,7,False,페넌트레이스
2023.04.07,금,18:30,광주-기아 챔피언스필드,KIA,1,두산,4,False,페넌트레이스
2023.04.07,금,18:30,한화생명 이글스 파크,한화,3,SSG,7,False,페넌트레이스
2023.04.07,금,18:30,잠실야구장,LG,7,삼성,2,True,페넌트레이스
2023.04.07,금,18:30,창원NC파크,NC,2,키움,0,True,페넌트레이스
2023.04.08,토,17:00,사직야구장,롯데,3,KT,7,False,페넌트레이스
2023.04.08,토,17:00,광주-기아 챔피언스필드,KIA,7,두산,6,True,페넌트레이스
2023.04.08,토,17:00,한화생명 이글스 파크,한화,5,SSG,7,False,페넌트레이스
2023.04.08,토,17:00,잠실야구장,LG,2,삼성,1,True,페넌트레이스
2023.04.08,토,17:00,창원NC파크,NC,11,키움,5,False,페넌트레이스
2023.04.09,일,14:00,사직야구장,롯데,5,KT,3,True,페넌트레이스
