지역,날짜,사고,사망,부상
강원 강릉시,2024.01.01,3,0,3
강원 강릉시,2024.01.02,2,0,2
강원 강릉시,2024.01.04,2,0,2
강원 강릉시,2024.01.05,2,0,2
강원 강릉시,2024.01.06,4,0,4
강원 강릉시,2024.01.07,2,0,3
강원 강릉시,2024.01.08,3,0,4
강원 강릉시,2024.01.09,2,1,1
강원 강릉시,2024.01.10,1,0,1
강원 강릉시,2024.01.11,2,0,2
강원 강릉시,2024.01.12,2,0,2
강원 강릉시,2024.01.13,1,0,2
강원 강릉시,2024.01.14,3,0,4
강원 강릉시,2024.01.16,3,0,5
강원 강릉시,2024.01.17,1,0,1
강원 강릉시,2024.01.19,1,0,1
강원 강릉시,2024.01.20,2,0,3
강원 강릉시,2024.01.21,2,0,3
강원 강릉시,2024.01.22,2,0,2
강원 강릉시,2024.01.23,1,0,1
강원 강릉시,2024.01.24,3,0,3
강원 강릉시,2024.01.26,1,0,1
강원 강릉시,2024.01.28,5,0,12
강원 강릉시,2024.01.31,2,0,2
강원 강릉시,2024.02.01,4,0,5
강원 강릉시,2024.02.02,1,0,1
강원 강릉시,2024.02.03,1,0,1
강원 강릉시,2024.02.04,4,0,5
강원 강릉시,2024.02.05,2,0,2
강원 강릉시,2024.02.07,5,0,6
강원 강릉시,2024.02.08,2,0,2
강원 강릉시,2024.02.09,1,1,0
강원 강릉시,2024.02.10,2,0,2
강원 강릉시,2024.02.13,4,0,5
강원 강릉시,2024.02.14,1,0,1
강원 강릉시,2024.02.16,2,0,3
강원 강릉시,2024.02.17,5,0,8
강원 강릉시,2024.02.18,2,0,6
강원 강릉시,2024.02.20,2,0,2
강원 강릉시,2024.02.21,1,0,3
강원 강릉시,2024.02.22,4,0,9
강원 강릉시,2024.02.23,1,0,1
강원 강릉시,2024.02.24,2,0,2
강원 강릉시,2024.02.25,4,0,6
강원 강릉시,2024.02.26,1,0,1
강원 강릉시,2024.02.28,1,0,1
강원 강릉시,2024.02.29,3,0,4
강원 강릉시,2024.03.01,1,0,1
강원 강릉시,2024.03.02,3,0,4
강원 강릉시,2024.03.03,1,0,1
강원 강릉시,2024.03.04,1,0,1
강원 강릉시,2024.03.05,2,0,3
강원 강릉시,2024.03.06,2,0,2
강원 강릉시,2024.03.07,1,0,1
강원 강릉시,2024.03.08,4,0,6
강원 강릉시,2024.03.09,1,0,1
강원 강릉시,2024.03.10,2,0,5
강원 강릉시,2024.03.11,1,0,1
강원 강릉시,2024.03.15,3,1,4
강원 강릉시,2024.03.16,6,0,6
강원 강릉시,2024.03.18,3,0,4
강원 강릉시,2024.03.19,1,0,1
강원 강릉시,2024.03.20,1,0,1
강원 강릉시,2024.03.21,1,0,1
강원 강릉시,2024.03.22,2,0,2
강원 강릉시,2024.03.24,1,0,2
강원 강릉시,2024.03.25,2,0,2
강원 강릉시,2024.03.26,1,0,1
강원 강릉시,2024.03.27,3,0,3
강원 강릉시,2024.03.28,2,0,4
강원 강릉시,2024.03.29,3,0,3
강원 강릉시,2024.03.30,5,0,5
강원 강릉시,2024.03.31,1,0,2
강원 강릉시,2024.04.02,2,1,1
강원 강릉시,2024.04.03,3,0,4
강원 강릉시,2024.04.04,3,0,5
강원 강릉시,2024.04.05,3,0,4
강원 강릉시,2024.04.06,3,0,3
강원 강릉시,2024.04.07,4,0,7
강원 강릉시,2024.04.08,5,0,12
강원 강릉시,2024.04.09,2,0,3
강원 강릉시,2024.04.10,2,0,4
강원 강릉시,2024.04.11,2,0,4
강원 강릉시,2024.04.12,2,0,2
강원 강릉시,2024.04.13,3,0,5
강원 강릉시,2024.04.14,2,0,2
강원 강릉시,2024.04.16,4,0,6
강원 강릉시,2024.04.17,2,0,2
강원 강릉시,2024.04.18,2,0,2
강원 강릉시,2024.04.19,2,0,2
강원 강릉시,2024.04.20,4,0,5
강원 강릉시,2024.04.22,2,0,2
강원 강릉시,2024.04.23,1,0,1
강원 강릉시,2024.04.24,2,0,7
강원 강릉시,2024.04.25,1,1,0
강원 강릉시,2024.04.26,2,0,3
강원 강릉시,2024.04.27,1,0,1
강원 강릉시,2024.04.29,1,0,4
강원 강릉시,2024.04.30,2,0,2
강원 강릉시,2024.05.01,2,0,2
강원 강릉시,2024.05.02,3,0,4
강원 강릉시,2024.05.03,2,0,2
강원 강릉시,2024.05.04,4,0,8
강원 강릉시,2024.05.05,2,0,2
강원 강릉시,2024.05.06,2,0,3
강원 강릉시,2024.05.07,2,0,2
강원 강릉시,2024.05.08,4,0,6
강원 강릉시,2024.05.09,1,0,1
강원 강릉시,2024.05.10,7,0,9
강원 강릉시,2024.05.11,2,0,2
강원 강릉시,2024.05.12,1,0,1
강원 강릉시,2024.05.13,2,0,2
