,game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,end_time,home_team_win,match_type,audience
3360,3315,IC03,배구,2024-11-21,목,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,2257.0
3361,3316,UJ01,배구,2024-11-22,금,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,1314.0
3362,3317,CA02,배구,2024-11-23,토,,0 days 14:00:00,0 days 16:00:00,0,정규시즌,3537.0
3363,3318,AS01,배구,2024-11-24,일,,0 days 14:00:00,0 days 16:00:00,0,정규시즌,2253.0
3364,3319,SU05,배구,2024-11-26,화,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,1010.0
3365,3320,SO08,배구,2024-11-27,수,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,2071.0
3366,3321,CA02,배구,2024-11-28,목,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,1791.0
3367,3322,DJ04,배구,2024-11-29,금,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,1987.0
3368,3323,SU05,배구,2024-11-30,토,,0 days 14:00:00,0 days 16:00:00,1,정규시즌,1651.0
3369,3324,IC03,배구,2024-12-01,일,,0 days 14:00:00,0 days 16:00:00,1,정규시즌,1243.0
3370,3325,IC03,배구,2024-12-03,화,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,2040.0
3371,3326,SO08,배구,2024-12-04,수,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,2298.0
3372,3327,AS01,배구,2024-12-05,목,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,1279.0
3373,3328,CA02,배구,2024-12-06,금,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,2092.0
3374,3329,DJ04,배구,2024-12-07,토,,0 days 14:00:00,0 days 16:00:00,0,정규시즌,1834.0
3375,3330,SU05,배구,2024-12-08,일,,0 days 14:00:00,0 days 16:00:00,0,정규시즌,1827.0
3376,3331,AS01,배구,2024-12-10,화,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,897.0
3377,3332,CA02,배구,2024-12-11,수,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,1937.0
3378,3333,SO08,배구,2024-12-12,목,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,2322.0
3379,3334,SU05,배구,2024-12-13,금,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,831.0
3380,3335,AS01,배구,2024-12-14,토,,0 days 14:00:00,0 days 16:00:00,0,정규시즌,1338.0
3381,3336,IC03,배구,2024-12-15,일,,0 days 14:00:00,0 days 16:00:00,1,정규시즌,2012.0
3382,3337,AS01,배구,2024-12-17,화,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,941.0
3383,3338,CA02,배구,2024-12-18,수,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,2567.0
3384,3339,DJ04,배구,2024-12-19,목,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,2037.0
3385,3340,IC03,배구,2024-12-20,금,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,1408.0
3386,3341,SO08,배구,2024-12-21,토,,0 days 14:00:00,0 days 16:00:00,0,정규시즌,3452.0
3387,3342,UJ02,배구,2024-12-22,일,,0 days 14:00:00,0 days 16:00:00,1,정규시즌,1506.0
3388,3343,DJ04,배구,2024-12-24,화,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,1299.0
3389,3344,CA02,배구,2024-12-25,수,,0 days 14:00:00,0 days 16:00:00,1,정규시즌,3610.0
3390,3345,UJ02,배구,2024-12-26,목,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,1343.0
3391,3346,DJ04,배구,2024-12-27,금,,0 days 19:00:00,0 days 21:00:00,0,정규시즌,1783.0
3392,3347,AS01,배구,2024-12-28,토,,0 days 14:00:00,0 days 16:00:00,0,정규시즌,2300.0
3393,3348,IC03,배구,2024-12-29,일,,0 days 14:00:00,0 days 16:00:00,0,정규시즌,2201.0
3394,3349,SO08,배구,2024-12-31,화,,0 days 19:00:00,0 days 21:00:00,1,정규시즌,3281.0
