date,region_code,accident_count,game_count,sport_types,has_playoff,temperature,precipitation,weather_condition,is_holiday,weekday
2023-04-03,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-04-04,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-04-05,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-04-06,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-04-07,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-04-08,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-04-09,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-04-10,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-04-11,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-04-12,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-04-13,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-04-14,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-04-15,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-04-16,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-04-17,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-04-18,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-04-19,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-04-20,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-04-21,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-04-22,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-04-23,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-04-24,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-04-25,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-04-26,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-04-27,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-04-28,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-04-29,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-04-30,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-05-01,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-05-02,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-05-03,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-05-04,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-05-05,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-05-06,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-05-07,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-05-08,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-05-09,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-05-10,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-05-11,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-05-12,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-05-13,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-05-14,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-05-15,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-05-16,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-05-17,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-05-18,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-05-19,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-05-20,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-05-21,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-05-22,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-05-23,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-05-24,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-05-25,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-05-26,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-05-27,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-05-28,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-05-29,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-05-30,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-05-31,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-06-01,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-06-02,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-06-03,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-06-04,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-06-05,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-06-06,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-06-07,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-06-08,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-06-09,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-06-10,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-06-11,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-06-12,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-06-13,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-06-14,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-06-15,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-06-16,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-06-17,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-06-18,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-06-19,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-06-20,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-06-21,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-06-22,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-06-23,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-06-24,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-06-25,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-06-26,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-06-27,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-06-28,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-06-29,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-06-30,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-07-01,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-07-02,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-07-03,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-07-04,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-07-05,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-07-06,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-07-07,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-07-08,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-07-09,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-07-10,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-07-11,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-07-12,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-07-13,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-07-14,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-07-15,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-07-16,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-07-17,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-07-18,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-07-19,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-07-20,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-07-21,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-07-22,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-07-23,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-07-24,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-07-25,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-07-26,서울_송파구,0,0,없음,0,,,정보없음,0,수
