game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,home_team_win,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth,start_hour,match_시범경기,match_정규시즌,match_포스트시즌
1800,CW01,야구,2024-08-08,금,0,0 days 18:30:00,1,0,경남 창원시,0.0,0.0,0.0,25.1,15.9,0.0,18,False,True,False
1801,SO05,야구,2024-08-09,토,0,0 days 18:00:00,0,0,서울 송파구,6.0,6.0,0.0,32.2,0.0,0.0,18,False,True,False
1802,SO04,야구,2024-08-09,토,0,0 days 18:00:00,1,0,서울 구로구,0.0,0.0,0.0,32.2,0.0,0.0,18,False,True,False
1803,BS02,야구,2024-08-09,토,0,0 days 18:00:00,1,0,부산 동래구,1.0,1.0,0.0,30.3,0.0,0.0,18,False,True,False
1804,SU03,야구,2024-08-09,토,0,0 days 18:00:00,0,0,경기 수원시,9.0,11.0,0.0,30.9,0.0,0.0,18,False,True,False
1805,CW01,야구,2024-08-09,토,0,0 days 18:00:00,1,0,경남 창원시,0.0,0.0,0.0,30.4,0.0,0.0,18,False,True,False
1806,SO04,야구,2024-08-10,일,1,0 days 14:00:00,1,0,서울 구로구,0.0,0.0,0.0,33.1,0.0,0.0,14,False,True,False
1807,SO05,야구,2024-08-10,일,1,0 days 18:00:00,0,0,서울 송파구,9.0,11.0,0.0,32.8,0.0,0.0,18,False,True,False
1808,BS02,야구,2024-08-10,일,1,0 days 18:00:00,1,0,부산 동래구,3.0,3.0,0.0,30.0,0.0,0.0,18,False,True,False
1809,SU03,야구,2024-08-10,일,1,0 days 18:00:00,0,0,경기 수원시,15.0,21.0,0.0,31.6,0.0,0.0,18,False,True,False
1810,CW01,야구,2024-08-10,일,1,0 days 18:00:00,1,0,경남 창원시,0.0,0.0,0.0,29.8,0.0,0.0,18,False,True,False
1811,DG03,야구,2024-08-12,화,0,0 days 18:30:00,1,0,대구 수성구,7.0,11.0,0.0,30.6,0.0,0.0,18,False,True,False
1812,SU03,야구,2024-08-12,화,0,0 days 18:30:00,0,0,경기 수원시,8.0,8.0,0.0,31.4,0.0,0.0,18,False,True,False
1813,DJ02,야구,2024-08-12,화,0,0 days 18:30:00,1,0,대전 중구,0.0,0.0,0.0,32.2,0.0,0.0,18,False,True,False
1814,SO05,야구,2024-08-12,화,0,0 days 18:30:00,1,0,서울 송파구,8.0,9.0,0.0,32.8,0.0,0.0,18,False,True,False
1815,IC02,야구,2024-08-12,화,0,0 days 18:30:00,0,0,인천 미추홀구,4.0,5.0,0.0,31.4,0.0,0.0,18,False,True,False
1816,DG03,야구,2024-08-13,수,0,0 days 18:30:00,1,0,대구 수성구,5.0,8.0,1.0,29.4,0.0,0.0,18,False,True,False
1817,SU03,야구,2024-08-13,수,0,0 days 18:30:00,0,0,경기 수원시,14.0,23.0,0.0,28.2,0.0,0.0,18,False,True,False
1818,DJ02,야구,2024-08-13,수,0,0 days 18:30:00,1,0,대전 중구,3.0,5.0,0.0,32.3,0.0,0.0,18,False,True,False
1819,SO05,야구,2024-08-13,수,0,0 days 18:30:00,1,0,서울 송파구,7.0,7.0,0.0,30.8,0.0,0.0,18,False,True,False
1820,IC02,야구,2024-08-13,수,0,0 days 18:30:00,0,0,인천 미추홀구,4.0,5.0,0.0,31.1,0.0,0.0,18,False,True,False
1821,DG03,야구,2024-08-14,목,0,0 days 18:30:00,1,0,대구 수성구,7.0,9.0,0.0,29.3,0.0,0.0,18,False,True,False
1822,SU03,야구,2024-08-14,목,0,0 days 18:30:00,0,0,경기 수원시,12.0,19.0,0.0,28.2,1.4,0.0,18,False,True,False
1823,DJ02,야구,2024-08-14,목,0,0 days 18:30:00,1,0,대전 중구,3.0,4.0,0.0,31.3,0.0,0.0,18,False,True,False
1824,SO05,야구,2024-08-14,목,0,0 days 18:30:00,1,0,서울 송파구,10.0,16.0,0.0,27.9,0.0,0.0,18,False,True,False
1825,IC02,야구,2024-08-14,목,0,0 days 18:30:00,0,0,인천 미추홀구,6.0,9.0,0.0,28.2,1.2,0.0,18,False,True,False
1826,CW01,야구,2024-08-15,금,1,0 days 18:00:00,0,0,경남 창원시,0.0,0.0,0.0,26.0,18.9,0.0,18,False,True,False
1827,SO05,야구,2024-08-15,금,1,0 days 18:00:00,1,0,서울 송파구,4.0,4.0,0.0,28.6,0.0,0.0,18,False,True,False
1828,SO04,야구,2024-08-15,금,1,0 days 18:00:00,1,0,서울 구로구,0.0,0.0,0.0,28.6,0.0,0.0,18,False,True,False
1829,IC02,야구,2024-08-15,금,1,0 days 18:00:00,1,0,인천 미추홀구,3.0,5.0,0.0,29.0,1.4,0.0,18,False,True,False
1830,BS02,야구,2024-08-15,금,1,0 days 18:00:00,0,0,부산 동래구,1.0,2.0,0.0,30.4,0.0,0.0,18,False,True,False
1831,CW01,야구,2024-08-16,토,0,0 days 18:00:00,0,0,경남 창원시,0.0,0.0,0.0,29.4,0.0,0.0,18,False,True,False
1832,SO05,야구,2024-08-16,토,0,0 days 18:00:00,1,0,서울 송파구,10.0,16.0,0.0,32.4,0.0,0.0,18,False,True,False
1833,SO04,야구,2024-08-16,토,0,0 days 18:00:00,1,0,서울 구로구,0.0,0.0,0.0,32.4,0.0,0.0,18,False,True,False
1834,IC02,야구,2024-08-16,토,0,0 days 18:00:00,1,0,인천 미추홀구,0.0,0.0,0.0,31.5,0.0,0.0,18,False,True,False
1835,BS02,야구,2024-08-16,토,0,0 days 18:00:00,0,0,부산 동래구,4.0,4.0,0.0,30.3,0.0,0.0,18,False,True,False
1836,SO04,야구,2024-08-17,일,1,0 days 14:00:00,1,0,서울 구로구,0.0,0.0,0.0,33.0,0.0,0.0,14,False,True,False
1837,CW01,야구,2024-08-17,일,1,0 days 18:00:00,0,0,경남 창원시,0.0,0.0,0.0,29.7,0.0,0.0,18,False,True,False
1838,SO05,야구,2024-08-17,일,1,0 days 18:00:00,1,0,서울 송파구,7.0,11.0,0.0,31.4,0.0,0.0,18,False,True,False
1839,IC02,야구,2024-08-17,일,1,0 days 18:00:00,1,0,인천 미추홀구,3.0,4.0,0.0,30.7,0.0,0.0,18,False,True,False
1840,BS02,야구,2024-08-17,일,1,0 days 18:00:00,0,0,부산 동래구,1.0,1.0,0.0,30.1,0.0,0.0,18,False,True,False
1841,SO05,야구,2024-08-19,화,0,0 days 18:30:00,0,0,서울 송파구,7.0,8.0,0.0,27.8,2.3,0.0,18,False,True,False
1842,DJ02,야구,2024-08-19,화,0,0 days 18:30:00,1,0,대전 중구,6.0,8.0,0.0,31.2,0.0,0.0,18,False,True,False
1843,SU03,야구,2024-08-19,화,0,0 days 18:30:00,0,0,경기 수원시,10.0,13.0,0.0,30.2,0.0,0.0,18,False,True,False
1844,GJ02,야구,2024-08-19,화,0,0 days 18:30:00,0,0,광주 북구,7.0,8.0,0.0,30.4,0.0,0.0,18,False,True,False
1845,CW01,야구,2024-08-19,화,0,0 days 18:30:00,0,0,경남 창원시,0.0,0.0,0.0,29.9,0.0,0.0,18,False,True,False
1846,SO05,야구,2024-08-20,수,0,0 days 18:30:00,0,0,서울 송파구,7.0,9.0,0.0,33.5,0.0,0.0,18,False,True,False
1847,DJ02,야구,2024-08-20,수,0,0 days 18:30:00,1,0,대전 중구,8.0,8.0,0.0,27.9,0.0,0.0,18,False,True,False
1848,SU03,야구,2024-08-20,수,0,0 days 18:30:00,0,0,경기 수원시,13.0,19.0,0.0,32.6,0.0,0.0,18,False,True,False
1849,GJ02,야구,2024-08-20,수,0,0 days 18:30:00,0,0,광주 북구,8.0,11.0,0.0,29.4,0.0,0.0,18,False,True,False
1850,CW01,야구,2024-08-20,수,0,0 days 18:30:00,0,0,경남 창원시,0.0,0.0,0.0,29.4,0.0,0.0,18,False,True,False
1851,SO05,야구,2024-08-21,목,0,0 days 18:30:00,0,0,서울 송파구,8.0,11.0,0.0,29.8,0.0,0.0,18,False,True,False
1852,DJ02,야구,2024-08-21,목,0,0 days 18:30:00,1,0,대전 중구,6.0,8.0,0.0,30.5,0.0,0.0,18,False,True,False
1853,SU03,야구,2024-08-21,목,0,0 days 18:30:00,0,0,경기 수원시,8.0,10.0,0.0,29.2,0.0,0.0,18,False,True,False
1854,GJ02,야구,2024-08-21,목,0,0 days 18:30:00,0,0,광주 북구,9.0,11.0,0.0,29.7,0.0,0.0,18,False,True,False
1855,CW01,야구,2024-08-21,목,0,0 days 18:30:00,0,0,경남 창원시,0.0,0.0,0.0,28.8,0.1,0.0,18,False,True,False
1856,SO05,야구,2024-08-22,금,0,0 days 18:30:00,1,0,서울 송파구,11.0,12.0,0.0,27.9,0.1,0.0,18,False,True,False
1857,GJ02,야구,2024-08-22,금,0,0 days 18:30:00,0,0,광주 북구,10.0,16.0,0.0,27.6,0.6,0.0,18,False,True,False
1858,CW01,야구,2024-08-22,금,0,0 days 18:30:00,0,0,경남 창원시,0.0,0.0,0.0,28.1,4.5,0.0,18,False,True,False
1859,DJ02,야구,2024-08-22,금,0,0 days 18:30:00,1,0,대전 중구,3.0,3.0,0.0,27.3,0.0,0.0,18,False,True,False
1860,DG03,야구,2024-08-22,금,0,0 days 18:30:00,0,0,대구 수성구,5.0,13.0,0.0,29.6,0.0,0.0,18,False,True,False
1861,SO05,야구,2024-08-23,토,0,0 days 18:00:00,1,0,서울 송파구,2.0,2.0,0.0,30.7,0.0,0.0,18,False,True,False
1862,GJ02,야구,2024-08-23,토,0,0 days 18:00:00,0,0,광주 북구,3.0,3.0,0.0,31.0,0.0,0.0,18,False,True,False
1863,CW01,야구,2024-08-23,토,0,0 days 18:00:00,0,0,경남 창원시,0.0,0.0,0.0,31.6,0.0,0.0,18,False,True,False
1864,DJ02,야구,2024-08-23,토,0,0 days 18:00:00,1,0,대전 중구,2.0,3.0,0.0,31.0,0.0,0.0,18,False,True,False
1865,DG03,야구,2024-08-23,토,0,0 days 18:00:00,0,0,대구 수성구,5.0,6.0,0.0,34.7,0.0,0.0,18,False,True,False
1866,SO05,야구,2024-08-24,일,1,0 days 18:00:00,1,0,서울 송파구,3.0,2.0,1.0,29.8,0.0,0.0,18,False,True,False
1867,GJ02,야구,2024-08-24,일,1,0 days 18:00:00,0,0,광주 북구,4.0,8.0,0.0,32.0,0.0,0.0,18,False,True,False
1868,CW01,야구,2024-08-24,일,1,0 days 18:00:00,0,0,경남 창원시,0.0,0.0,0.0,31.7,0.0,0.0,18,False,True,False
1869,DJ02,야구,2024-08-24,일,1,0 days 18:00:00,1,0,대전 중구,7.0,9.0,0.0,30.5,0.0,0.0,18,False,True,False
1870,DG03,야구,2024-08-24,일,1,0 days 18:00:00,0,0,대구 수성구,7.0,11.0,0.0,34.7,0.0,0.0,18,False,True,False
1871,SO04,야구,2024-08-26,화,0,0 days 18:30:00,0,0,서울 구로구,0.0,0.0,0.0,28.3,0.0,0.0,18,False,True,False
1872,IC02,야구,2024-08-26,화,0,0 days 18:30:00,1,0,인천 미추홀구,5.0,6.0,0.0,28.4,0.0,0.0,18,False,True,False
