game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,home_team_win,match_type,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth
1,DJ02,야구,2023-03-13,월,0,0 days 14:00:00,1,시범경기,,대전 중구,3.0,4.0,0.0,8.8,,
2,SO04,야구,2023-03-13,월,0,0 days 14:00:00,0,시범경기,,서울 구로구,,,,6.6,,
3,CW01,야구,2023-03-13,월,0,0 days 14:00:00,0,시범경기,,경남 창원시,,,,8.3,,
4,BS02,야구,2023-03-13,월,0,0 days 14:00:00,0,시범경기,,부산 동래구,2.0,2.0,0.0,9.8,,
5,DG03,야구,2023-03-13,월,0,0 days 14:00:00,1,시범경기,,대구 수성구,5.0,8.0,0.0,8.9,,
6,DJ02,야구,2023-03-14,화,0,0 days 14:00:00,0,시범경기,,대전 중구,2.0,2.0,0.0,16.6,,
7,SO04,야구,2023-03-14,화,0,0 days 14:00:00,0,시범경기,,서울 구로구,,,,15.2,,
8,CW01,야구,2023-03-14,화,0,0 days 14:00:00,0,시범경기,,경남 창원시,,,,15.0,,
9,BS02,야구,2023-03-14,화,0,0 days 14:00:00,1,시범경기,,부산 동래구,4.0,7.0,0.0,13.2,,
10,DG03,야구,2023-03-14,화,0,0 days 14:00:00,0,시범경기,,대구 수성구,3.0,6.0,0.0,17.4,,
11,SO04,야구,2023-03-15,수,0,0 days 13:00:00,0,시범경기,,서울 구로구,,,,14.2,,
12,DJ02,야구,2023-03-15,수,0,0 days 13:00:00,0,시범경기,,대전 중구,2.0,3.0,0.0,18.6,,
13,DG03,야구,2023-03-15,수,0,0 days 13:00:00,0,시범경기,,대구 수성구,4.0,4.0,0.0,19.6,,
14,CW01,야구,2023-03-15,수,0,0 days 13:00:00,0,시범경기,,경남 창원시,,,,19.3,,
15,BS02,야구,2023-03-15,수,0,0 days 13:00:00,0,시범경기,,부산 동래구,3.0,4.0,0.0,15.5,,
16,SO04,야구,2023-03-16,목,0,0 days 14:00:00,1,시범경기,,서울 구로구,,,,8.4,,
17,DJ02,야구,2023-03-16,목,0,0 days 14:00:00,1,시범경기,,대전 중구,,,,11.6,,
18,DG03,야구,2023-03-16,목,0,0 days 14:00:00,0,시범경기,,대구 수성구,8.0,11.0,0.0,14.6,,
19,CW01,야구,2023-03-16,목,0,0 days 14:00:00,1,시범경기,,경남 창원시,,,,14.6,,
20,BS02,야구,2023-03-16,목,0,0 days 14:00:00,0,시범경기,,부산 동래구,6.0,7.0,0.0,15.2,,
21,DG03,야구,2023-03-18,토,1,0 days 13:00:00,1,시범경기,,대구 수성구,5.0,7.0,0.0,15.4,,
22,BS02,야구,2023-03-18,토,1,0 days 13:00:00,0,시범경기,,부산 동래구,1.0,1.0,0.0,15.5,,
23,GJ02,야구,2023-03-18,토,1,0 days 13:00:00,0,시범경기,,광주 북구,4.0,4.0,0.0,15.1,,
24,CW01,야구,2023-03-18,토,1,0 days 13:00:00,1,시범경기,,경남 창원시,,,,15.8,,
25,DJ02,야구,2023-03-18,토,1,0 days 13:00:00,0,시범경기,,대전 중구,3.0,7.0,0.0,13.7,,
26,DG03,야구,2023-03-19,일,1,0 days 13:00:00,1,시범경기,,대구 수성구,5.0,6.0,0.0,16.3,,
27,BS02,야구,2023-03-19,일,1,0 days 13:00:00,0,시범경기,,부산 동래구,1.0,1.0,0.0,17.4,,
28,GJ02,야구,2023-03-19,일,1,0 days 13:00:00,1,시범경기,,광주 북구,7.0,11.0,0.0,15.0,,
29,CW01,야구,2023-03-19,일,1,0 days 13:00:00,1,시범경기,,경남 창원시,,,,16.8,,
30,DJ02,야구,2023-03-19,일,1,0 days 13:00:00,1,시범경기,,대전 중구,2.0,2.0,0.0,14.0,,
31,GJ02,야구,2023-03-20,월,0,0 days 13:00:00,1,시범경기,,광주 북구,10.0,12.0,0.0,18.1,,
32,DG03,야구,2023-03-20,월,0,0 days 13:00:00,1,시범경기,,대구 수성구,7.0,10.0,0.0,17.6,,
33,SU03,야구,2023-03-20,월,0,0 days 13:00:00,1,시범경기,,경기 수원시,10.0,11.0,0.0,14.6,,
34,DJ02,야구,2023-03-20,월,0,0 days 13:00:00,1,시범경기,,대전 중구,3.0,4.0,0.0,18.1,,
35,CW01,야구,2023-03-20,월,0,0 days 13:00:00,0,시범경기,,경남 창원시,,,,17.5,,
36,GJ02,야구,2023-03-21,화,0,0 days 13:00:00,0,시범경기,,광주 북구,4.0,5.0,0.0,21.8,,
37,DG03,야구,2023-03-21,화,0,0 days 13:00:00,1,시범경기,,대구 수성구,6.0,11.0,0.0,20.3,,
38,SU03,야구,2023-03-21,화,0,0 days 13:00:00,0,시범경기,,경기 수원시,12.0,15.0,0.0,17.9,,
39,DJ02,야구,2023-03-21,화,0,0 days 13:00:00,0,시범경기,,대전 중구,2.0,2.0,0.0,20.6,,
40,CW01,야구,2023-03-21,화,0,0 days 13:00:00,0,시범경기,,경남 창원시,,,,18.3,,
41,SU03,야구,2023-03-23,목,0,0 days 13:00:00,0,시범경기,,경기 수원시,9.0,10.0,0.0,21.4,,
42,CW01,야구,2023-03-23,목,0,0 days 13:00:00,0,시범경기,,경남 창원시,,,,16.5,,
43,DJ02,야구,2023-03-23,목,0,0 days 13:00:00,1,시범경기,,대전 중구,3.0,4.0,0.0,16.7,,
44,GJ02,야구,2023-03-23,목,0,0 days 13:00:00,0,시범경기,,광주 북구,6.0,10.0,0.0,16.8,,
45,SO04,야구,2023-03-23,목,0,0 days 13:00:00,0,시범경기,,서울 구로구,,,,20.8,,
46,SU03,야구,2023-03-24,금,0,0 days 13:00:00,1,시범경기,,경기 수원시,15.0,18.0,0.0,14.8,,
47,CW01,야구,2023-03-24,금,0,0 days 13:00:00,0,시범경기,,경남 창원시,,,,14.1,,
48,DJ02,야구,2023-03-24,금,0,0 days 13:00:00,1,시범경기,,대전 중구,3.0,3.0,0.0,16.3,,
49,GJ02,야구,2023-03-24,금,0,0 days 13:00:00,0,시범경기,,광주 북구,5.0,9.0,0.0,12.4,,
50,SO04,야구,2023-03-24,금,0,0 days 13:00:00,0,시범경기,,서울 구로구,,,,16.9,,
51,SO04,야구,2023-03-25,토,1,0 days 13:00:00,0,시범경기,,서울 구로구,,,,16.9,,
52,SU03,야구,2023-03-25,토,1,0 days 13:00:00,0,시범경기,,경기 수원시,15.0,22.0,0.0,15.5,,
53,SO05,야구,2023-03-25,토,1,0 days 13:00:00,0,시범경기,,서울 송파구,3.0,5.0,0.0,16.9,,
54,BS02,야구,2023-03-25,토,1,0 days 18:00:00,0,시범경기,,부산 동래구,2.0,2.0,0.0,12.1,,
55,GJ02,야구,2023-03-25,토,1,0 days 18:00:00,0,시범경기,,광주 북구,3.0,4.0,0.0,12.8,,
56,BS02,야구,2023-03-26,일,1,0 days 13:00:00,0,시범경기,,부산 동래구,4.0,7.0,0.0,14.8,,
57,SO04,야구,2023-03-26,일,1,0 days 13:00:00,1,시범경기,,서울 구로구,,,,13.6,,
58,GJ02,야구,2023-03-26,일,1,0 days 13:00:00,1,시범경기,,광주 북구,4.0,5.0,0.0,15.4,,
59,SU03,야구,2023-03-26,일,1,0 days 13:00:00,1,시범경기,,경기 수원시,8.0,12.0,0.0,13.9,,
60,SO05,야구,2023-03-26,일,1,0 days 13:00:00,0,시범경기,,서울 송파구,4.0,4.0,0.0,13.6,,
61,SU03,야구,2023-03-27,월,0,0 days 13:00:00,1,시범경기,,경기 수원시,12.0,14.0,0.0,11.8,,
62,SO04,야구,2023-03-27,월,0,0 days 13:00:00,0,시범경기,,서울 구로구,,,,12.9,,
63,SO05,야구,2023-03-27,월,0,0 days 13:00:00,0,시범경기,,서울 송파구,2.0,3.0,0.0,12.9,,
64,DG03,야구,2023-03-27,월,0,0 days 18:00:00,0,시범경기,,대구 수성구,4.0,6.0,0.0,14.9,,
65,BS02,야구,2023-03-27,월,0,0 days 18:00:00,1,시범경기,,부산 동래구,4.0,5.0,0.0,13.4,,
66,DG03,야구,2023-03-28,화,0,0 days 13:00:00,1,시범경기,,대구 수성구,4.0,5.0,0.0,16.8,,
67,BS02,야구,2023-03-28,화,0,0 days 13:00:00,1,시범경기,,부산 동래구,3.0,4.0,0.0,15.9,,
68,SU03,야구,2023-03-28,화,0,0 days 13:00:00,0,시범경기,,경기 수원시,15.0,19.0,0.0,13.5,,
69,SO04,야구,2023-03-28,화,0,0 days 13:00:00,0,시범경기,,서울 구로구,,,,14.6,,
70,SO05,야구,2023-03-28,화,0,0 days 13:00:00,0,시범경기,,서울 송파구,10.0,14.0,0.0,14.6,,
71,SO04,야구,2023-04-01,토,1,0 days 14:00:00,1,페넌트레이스,16000.0,서울 구로구,,,,25.0,,
72,IC02,야구,2023-04-01,토,1,0 days 14:00:00,1,페넌트레이스,23000.0,인천 미추홀구,5.0,7.0,0.0,21.2,,
73,SU03,야구,2023-04-01,토,1,0 days 14:00:00,0,페넌트레이스,18700.0,경기 수원시,13.0,16.0,0.0,24.0,,
74,SO05,야구,2023-04-01,토,1,0 days 14:00:00,1,페넌트레이스,23750.0,서울 송파구,12.0,12.0,0.0,25.0,,
75,DG03,야구,2023-04-01,토,1,0 days 14:00:00,0,페넌트레이스,24000.0,대구 수성구,4.0,6.0,0.0,22.7,,
76,SO04,야구,2023-04-02,일,1,0 days 14:00:00,1,페넌트레이스,11562.0,서울 구로구,,,,24.3,,
77,IC02,야구,2023-04-02,일,1,0 days 14:00:00,0,페넌트레이스,23000.0,인천 미추홀구,3.0,3.0,0.0,22.7,,
78,SU03,야구,2023-04-02,일,1,0 days 14:00:00,1,페넌트레이스,14700.0,경기 수원시,10.0,12.0,0.0,23.1,,
79,SO05,야구,2023-04-02,일,1,0 days 14:00:00,0,페넌트레이스,23750.0,서울 송파구,6.0,8.0,0.0,24.3,,
80,DG03,야구,2023-04-02,일,1,0 days 14:00:00,1,페넌트레이스,18483.0,대구 수성구,4.0,4.0,0.0,18.8,,
