game_id,stadium_code,game_date,day_of_week,is_holiday,start_time,home_team_win,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth,start_hour,match_시범경기,match_정규시즌,match_포스트시즌,type_농구,type_배구,type_야구,type_여자배구,type_축구
1724,GJ02,2024-09-24,화,0,0 days 18:30:00,1,20500.0,광주 북구,8.0,13.0,0.0,24.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1725,IC02,2024-09-24,화,0,0 days 18:30:00,1,19911.0,인천 미추홀구,5.0,6.0,0.0,23.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1726,SO05,2024-09-24,화,0,0 days 18:30:00,0,22064.0,서울 송파구,11.0,13.0,0.0,23.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1727,SO05,2024-09-25,수,0,0 days 18:30:00,0,23750.0,서울 송파구,9.0,10.0,0.0,25.1,0.0,0.0,18,False,True,False,False,False,True,False,False
1728,GJ02,2024-09-25,수,0,0 days 18:30:00,0,20500.0,광주 북구,6.0,8.0,0.0,25.5,0.0,0.0,18,False,True,False,False,False,True,False,False
1729,CW01,2024-09-25,수,0,0 days 18:30:00,0,6157.0,경남 창원시,0.0,0.0,0.0,23.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1730,DG03,2024-09-25,수,0,0 days 18:30:00,1,24000.0,대구 수성구,7.0,12.0,0.0,24.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1731,BS02,2024-09-26,목,0,0 days 18:30:00,0,18727.0,부산 동래구,1.0,1.0,0.0,25.0,0.0,0.0,18,False,True,False,False,False,True,False,False
1732,CW01,2024-09-26,목,0,0 days 18:30:00,0,6377.0,경남 창원시,0.0,0.0,0.0,24.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1733,SO05,2024-09-26,목,0,0 days 18:30:00,1,21593.0,서울 송파구,9.0,9.0,0.0,24.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1734,DJ02,2024-09-27,금,0,0 days 18:30:00,1,12000.0,대전 중구,2.0,2.0,0.0,22.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1735,BS02,2024-09-27,금,0,0 days 18:30:00,0,22758.0,부산 동래구,6.0,6.0,0.0,24.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1736,SU03,2024-09-27,금,0,0 days 18:30:00,1,12824.0,경기 수원시,18.0,19.0,0.0,23.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1737,BS02,2024-09-28,토,1,0 days 17:00:00,1,22758.0,부산 동래구,3.0,4.0,0.0,25.9,0.0,0.0,17,False,True,False,False,False,True,False,False
1738,DG03,2024-09-28,토,1,0 days 17:00:00,1,24000.0,대구 수성구,5.0,9.0,0.0,22.3,0.0,0.0,17,False,True,False,False,False,True,False,False
1739,CW01,2024-09-28,토,1,0 days 17:00:00,0,17891.0,경남 창원시,0.0,0.0,0.0,26.1,0.0,0.0,17,False,True,False,False,False,True,False,False
1740,DJ02,2024-09-28,토,1,0 days 17:00:00,0,12000.0,대전 중구,3.0,5.0,0.0,25.7,0.0,0.0,17,False,True,False,False,False,True,False,False
1741,SU03,2024-09-28,토,1,0 days 17:00:00,0,18700.0,경기 수원시,12.0,20.0,0.0,26.5,0.0,0.0,17,False,True,False,False,False,True,False,False
1742,DJ02,2024-09-29,일,1,0 days 17:00:00,0,12000.0,대전 중구,1.0,4.0,0.0,25.7,0.0,0.0,17,False,True,False,False,False,True,False,False
1743,GJ02,2024-09-30,월,0,0 days 18:30:00,0,20500.0,광주 북구,5.0,6.0,1.0,24.8,0.0,0.0,18,False,True,False,False,False,True,False,False
1744,IC02,2024-09-30,월,0,0 days 18:30:00,1,23000.0,인천 미추홀구,4.0,6.0,0.0,23.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1745,CW01,2024-10-01,화,1,0 days 17:00:00,0,17891.0,경남 창원시,0.0,0.0,0.0,25.7,0.0,0.0,17,False,True,False,False,False,True,False,False
1746,SU03,2024-10-01,화,1,0 days 17:00:00,1,8312.214073343937,경기 수원시,12.0,14.0,0.0,19.1,0.0,0.0,17,False,True,False,False,False,True,False,False
1747,SO05,2024-10-02,수,0,0 days 18:30:00,0,14844.174285632462,서울 송파구,9.0,9.0,0.0,16.3,0.0,0.0,18,False,False,True,False,False,True,False,False
1748,SO05,2024-10-03,목,1,0 days 14:00:00,0,16068.672080683604,서울 송파구,2.0,3.0,0.0,21.4,0.0,0.0,14,False,False,True,False,False,True,False,False
1749,SO05,2024-10-05,토,1,0 days 14:00:00,0,19111.124996034992,서울 송파구,6.0,10.0,0.0,23.6,0.0,0.0,14,False,False,True,False,False,True,False,False
1750,SO05,2024-10-06,일,1,0 days 14:00:00,1,18323.803625884328,서울 송파구,5.0,7.0,0.0,17.4,0.0,0.0,14,False,False,True,False,False,True,False,False
1751,SU03,2024-10-08,화,0,0 days 18:30:00,0,11326.119227723257,경기 수원시,17.0,21.0,0.0,18.0,0.0,0.0,18,False,False,True,False,False,True,False,False
1752,SU03,2024-10-09,수,1,0 days 14:00:00,1,9803.184629087498,경기 수원시,13.0,16.0,0.0,22.6,0.0,0.0,14,False,False,True,False,False,True,False,False
1753,SO05,2024-10-11,금,0,0 days 18:30:00,1,18952.766535154125,서울 송파구,6.0,6.0,0.0,19.7,0.0,0.0,18,False,False,True,False,False,True,False,False
1754,DG03,2024-10-13,일,1,0 days 14:00:00,0,14743.597463668362,대구 수성구,3.0,7.0,0.0,23.4,0.0,0.0,14,False,False,True,False,False,True,False,False
