game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,home_team_win,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth,start_hour,match_시범경기,match_정규시즌,match_포스트시즌
1,DJ02,야구,2023-03-13,월,0,0 days 14:00:00,1,10250.1605927588,대전 중구,3.0,4.0,0.0,8.8,0.0,0.0,14,True,False,False
2,SO04,야구,2023-03-13,월,0,0 days 14:00:00,0,7576.307593131857,서울 구로구,0.0,0.0,0.0,6.6,0.0,0.0,14,True,False,False
3,CW01,야구,2023-03-13,월,0,0 days 14:00:00,0,9488.79665414343,경남 창원시,0.0,0.0,0.0,8.3,0.0,0.0,14,True,False,False
4,BS02,야구,2023-03-13,월,0,0 days 14:00:00,0,14184.752160192655,부산 동래구,2.0,2.0,0.0,9.8,0.0,0.0,14,True,False,False
5,DG03,야구,2023-03-13,월,0,0 days 14:00:00,1,16068.03293362308,대구 수성구,5.0,8.0,0.0,8.9,0.0,0.0,14,True,False,False
6,DJ02,야구,2023-03-14,화,0,0 days 14:00:00,0,9179.211486408407,대전 중구,2.0,2.0,0.0,16.6,0.0,0.0,14,True,False,False
7,SO04,야구,2023-03-14,화,0,0 days 14:00:00,0,11301.59941005662,서울 구로구,0.0,0.0,0.0,15.2,0.0,0.0,14,True,False,False
8,CW01,야구,2023-03-14,화,0,0 days 14:00:00,0,8418.790886441117,경남 창원시,0.0,0.0,0.0,15.0,0.0,0.0,14,True,False,False
9,BS02,야구,2023-03-14,화,0,0 days 14:00:00,1,16975.30818078055,부산 동래구,4.0,7.0,0.0,13.2,0.0,0.0,14,True,False,False
10,DG03,야구,2023-03-14,화,0,0 days 14:00:00,0,14221.465282817357,대구 수성구,3.0,6.0,0.0,17.4,0.0,0.0,14,True,False,False
11,SO04,야구,2023-03-15,수,0,0 days 13:00:00,0,8873.825731090772,서울 구로구,0.0,0.0,0.0,14.2,0.0,0.0,13,True,False,False
12,DJ02,야구,2023-03-15,수,0,0 days 13:00:00,0,10030.94452285661,대전 중구,2.0,3.0,0.0,18.6,0.0,0.0,13,True,False,False
13,DG03,야구,2023-03-15,수,0,0 days 13:00:00,0,17594.95561145313,대구 수성구,4.0,4.0,0.0,19.6,0.0,0.0,13,True,False,False
14,CW01,야구,2023-03-15,수,0,0 days 13:00:00,0,11408.834357665848,경남 창원시,0.0,0.0,0.0,19.3,0.0,0.0,13,True,False,False
15,BS02,야구,2023-03-15,수,0,0 days 13:00:00,0,15582.545274645656,부산 동래구,3.0,4.0,0.0,15.5,0.0,0.0,13,True,False,False
16,SO04,야구,2023-03-16,목,0,0 days 14:00:00,1,8400.309785112908,서울 구로구,0.0,0.0,0.0,8.4,0.0,0.0,14,True,False,False
17,DJ02,야구,2023-03-16,목,0,0 days 14:00:00,1,8495.679116145242,대전 중구,0.0,0.0,0.0,11.6,0.0,0.0,14,True,False,False
18,DG03,야구,2023-03-16,목,0,0 days 14:00:00,0,16465.04526490228,대구 수성구,8.0,11.0,0.0,14.6,0.0,0.0,14,True,False,False
19,CW01,야구,2023-03-16,목,0,0 days 14:00:00,1,9197.153286667855,경남 창원시,0.0,0.0,0.0,14.6,0.0,0.0,14,True,False,False
20,BS02,야구,2023-03-16,목,0,0 days 14:00:00,0,16567.200328901185,부산 동래구,6.0,7.0,0.0,15.2,0.0,0.0,14,True,False,False
21,DG03,야구,2023-03-18,토,1,0 days 13:00:00,1,15587.859171740429,대구 수성구,5.0,7.0,0.0,15.4,0.0,0.0,13,True,False,False
22,BS02,야구,2023-03-18,토,1,0 days 13:00:00,0,15700.97735365741,부산 동래구,1.0,1.0,0.0,15.5,0.0,0.0,13,True,False,False
23,GJ02,야구,2023-03-18,토,1,0 days 13:00:00,0,13042.172957396933,광주 북구,4.0,4.0,0.0,15.1,0.0,0.0,13,True,False,False
24,CW01,야구,2023-03-18,토,1,0 days 13:00:00,1,8526.539508755177,경남 창원시,0.0,0.0,0.0,15.8,0.0,0.0,13,True,False,False
25,DJ02,야구,2023-03-18,토,1,0 days 13:00:00,0,8711.197951604929,대전 중구,3.0,7.0,0.0,13.7,0.0,0.0,13,True,False,False
26,DG03,야구,2023-03-19,일,1,0 days 13:00:00,1,18890.64185144351,대구 수성구,5.0,6.0,0.0,16.3,0.0,0.0,13,True,False,False
27,BS02,야구,2023-03-19,일,1,0 days 13:00:00,0,16812.189260120074,부산 동래구,1.0,1.0,0.0,17.4,0.0,0.0,13,True,False,False
28,GJ02,야구,2023-03-19,일,1,0 days 13:00:00,1,14675.937961469992,광주 북구,7.0,11.0,0.0,15.0,0.0,0.0,13,True,False,False
29,CW01,야구,2023-03-19,일,1,0 days 13:00:00,1,8441.591694228899,경남 창원시,0.0,0.0,0.0,16.8,0.0,0.0,13,True,False,False
30,DJ02,야구,2023-03-19,일,1,0 days 13:00:00,1,11771.383774360449,대전 중구,2.0,2.0,0.0,14.0,0.0,0.0,13,True,False,False
31,GJ02,야구,2023-03-20,월,0,0 days 13:00:00,1,12458.481212963628,광주 북구,10.0,12.0,0.0,18.1,0.0,0.0,13,True,False,False
32,DG03,야구,2023-03-20,월,0,0 days 13:00:00,1,14012.8032403983,대구 수성구,7.0,10.0,0.0,17.6,0.0,0.0,13,True,False,False
33,SU03,야구,2023-03-20,월,0,0 days 13:00:00,1,9937.115940864196,경기 수원시,10.0,11.0,0.0,14.6,0.0,0.0,13,True,False,False
34,DJ02,야구,2023-03-20,월,0,0 days 13:00:00,1,8645.109828078243,대전 중구,3.0,4.0,0.0,18.1,0.0,0.0,13,True,False,False
35,CW01,야구,2023-03-20,월,0,0 days 13:00:00,0,8595.73366243423,경남 창원시,0.0,0.0,0.0,17.5,0.0,0.0,13,True,False,False
36,GJ02,야구,2023-03-21,화,0,0 days 13:00:00,0,13322.249764171798,광주 북구,4.0,5.0,0.0,21.8,0.0,0.0,13,True,False,False
37,DG03,야구,2023-03-21,화,0,0 days 13:00:00,1,15030.966042719354,대구 수성구,6.0,11.0,0.0,20.3,0.0,0.0,13,True,False,False
38,SU03,야구,2023-03-21,화,0,0 days 13:00:00,0,10869.2544916695,경기 수원시,12.0,15.0,0.0,17.9,0.0,0.0,13,True,False,False
39,DJ02,야구,2023-03-21,화,0,0 days 13:00:00,0,10182.35162486469,대전 중구,2.0,2.0,0.0,20.6,0.0,0.0,13,True,False,False
40,CW01,야구,2023-03-21,화,0,0 days 13:00:00,0,9144.642077706776,경남 창원시,0.0,0.0,0.0,18.3,0.0,0.0,13,True,False,False
41,SU03,야구,2023-03-23,목,0,0 days 13:00:00,0,11530.947886928103,경기 수원시,9.0,10.0,0.0,21.4,0.0,0.0,13,True,False,False
42,CW01,야구,2023-03-23,목,0,0 days 13:00:00,0,9845.081757163283,경남 창원시,0.0,0.0,0.0,16.5,0.0,0.0,13,True,False,False
43,DJ02,야구,2023-03-23,목,0,0 days 13:00:00,1,10297.340974901696,대전 중구,3.0,4.0,0.0,16.7,0.0,0.0,13,True,False,False
44,GJ02,야구,2023-03-23,목,0,0 days 13:00:00,0,13434.280474416737,광주 북구,6.0,10.0,0.0,16.8,0.0,0.0,13,True,False,False
45,SO04,야구,2023-03-23,목,0,0 days 13:00:00,0,8280.622883328815,서울 구로구,0.0,0.0,0.0,20.8,0.0,0.0,13,True,False,False
46,SU03,야구,2023-03-24,금,0,0 days 13:00:00,1,9809.481642550296,경기 수원시,15.0,18.0,0.0,14.8,0.0,0.0,13,True,False,False
47,CW01,야구,2023-03-24,금,0,0 days 13:00:00,0,8788.237269982841,경남 창원시,0.0,0.0,0.0,14.1,0.0,0.0,13,True,False,False
48,DJ02,야구,2023-03-24,금,0,0 days 13:00:00,1,10821.969558550736,대전 중구,3.0,3.0,0.0,16.3,0.0,0.0,13,True,False,False
49,GJ02,야구,2023-03-24,금,0,0 days 13:00:00,0,13909.642715220656,광주 북구,5.0,9.0,0.0,12.4,0.0,0.0,13,True,False,False
50,SO04,야구,2023-03-24,금,0,0 days 13:00:00,0,8279.71939316539,서울 구로구,0.0,0.0,0.0,16.9,0.0,0.0,13,True,False,False
51,SO04,야구,2023-03-25,토,1,0 days 13:00:00,0,9559.936186435685,서울 구로구,0.0,0.0,0.0,16.9,0.0,0.0,13,True,False,False
52,SU03,야구,2023-03-25,토,1,0 days 13:00:00,0,9820.758213985913,경기 수원시,15.0,22.0,0.0,15.5,0.0,0.0,13,True,False,False
53,SO05,야구,2023-03-25,토,1,0 days 13:00:00,0,16687.165762041317,서울 송파구,3.0,5.0,0.0,16.9,0.0,0.0,13,True,False,False
54,BS02,야구,2023-03-25,토,1,0 days 18:00:00,0,13303.560174453201,부산 동래구,2.0,2.0,0.0,12.1,0.0,0.0,18,True,False,False
55,GJ02,야구,2023-03-25,토,1,0 days 18:00:00,0,13005.809858876997,광주 북구,3.0,4.0,0.0,12.8,0.0,0.0,18,True,False,False
56,BS02,야구,2023-03-26,일,1,0 days 13:00:00,0,14384.386592855004,부산 동래구,4.0,7.0,0.0,14.8,0.0,0.0,13,True,False,False
57,SO04,야구,2023-03-26,일,1,0 days 13:00:00,1,12957.461981130138,서울 구로구,0.0,0.0,0.0,13.6,0.0,0.0,13,True,False,False
58,GJ02,야구,2023-03-26,일,1,0 days 13:00:00,1,14023.809527623618,광주 북구,4.0,5.0,0.0,15.4,0.0,0.0,13,True,False,False
59,SU03,야구,2023-03-26,일,1,0 days 13:00:00,1,10299.057664180664,경기 수원시,8.0,12.0,0.0,13.9,0.0,0.0,13,True,False,False
60,SO05,야구,2023-03-26,일,1,0 days 13:00:00,0,17516.526857845776,서울 송파구,4.0,4.0,0.0,13.6,0.0,0.0,13,True,False,False
61,SU03,야구,2023-03-27,월,0,0 days 13:00:00,1,10536.368991354115,경기 수원시,12.0,14.0,0.0,11.8,0.0,0.0,13,True,False,False
62,SO04,야구,2023-03-27,월,0,0 days 13:00:00,0,8613.446548142845,서울 구로구,0.0,0.0,0.0,12.9,0.0,0.0,13,True,False,False
63,SO05,야구,2023-03-27,월,0,0 days 13:00:00,0,14755.82902474611,서울 송파구,2.0,3.0,0.0,12.9,0.0,0.0,13,True,False,False
64,DG03,야구,2023-03-27,월,0,0 days 18:00:00,0,18108.13615981048,대구 수성구,4.0,6.0,0.0,14.9,0.0,0.0,18,True,False,False
65,BS02,야구,2023-03-27,월,0,0 days 18:00:00,1,17945.185037254232,부산 동래구,4.0,5.0,0.0,13.4,0.0,0.0,18,True,False,False
66,DG03,야구,2023-03-28,화,0,0 days 13:00:00,1,14801.327941839587,대구 수성구,4.0,5.0,0.0,16.8,0.0,0.0,13,True,False,False
67,BS02,야구,2023-03-28,화,0,0 days 13:00:00,1,14949.811791578526,부산 동래구,3.0,4.0,0.0,15.9,0.0,0.0,13,True,False,False
68,SU03,야구,2023-03-28,화,0,0 days 13:00:00,0,9389.457189122595,경기 수원시,15.0,19.0,0.0,13.5,0.0,0.0,13,True,False,False
69,SO04,야구,2023-03-28,화,0,0 days 13:00:00,0,10695.501611119718,서울 구로구,0.0,0.0,0.0,14.6,0.0,0.0,13,True,False,False
70,SO05,야구,2023-03-28,화,0,0 days 13:00:00,0,14374.33052766439,서울 송파구,10.0,14.0,0.0,14.6,0.0,0.0,13,True,False,False
71,SO04,야구,2023-04-01,토,1,0 days 14:00:00,1,16000.0,서울 구로구,0.0,0.0,0.0,25.0,0.0,0.0,14,False,True,False
72,IC02,야구,2023-04-01,토,1,0 days 14:00:00,1,23000.0,인천 미추홀구,5.0,7.0,0.0,21.2,0.0,0.0,14,False,True,False
73,SU03,야구,2023-04-01,토,1,0 days 14:00:00,0,18700.0,경기 수원시,13.0,16.0,0.0,24.0,0.0,0.0,14,False,True,False
74,SO05,야구,2023-04-01,토,1,0 days 14:00:00,1,23750.0,서울 송파구,12.0,12.0,0.0,25.0,0.0,0.0,14,False,True,False
75,DG03,야구,2023-04-01,토,1,0 days 14:00:00,0,24000.0,대구 수성구,4.0,6.0,0.0,22.7,0.0,0.0,14,False,True,False
76,SO04,야구,2023-04-02,일,1,0 days 14:00:00,1,11562.0,서울 구로구,0.0,0.0,0.0,24.3,0.0,0.0,14,False,True,False
77,IC02,야구,2023-04-02,일,1,0 days 14:00:00,0,23000.0,인천 미추홀구,3.0,3.0,0.0,22.7,0.0,0.0,14,False,True,False
78,SU03,야구,2023-04-02,일,1,0 days 14:00:00,1,14700.0,경기 수원시,10.0,12.0,0.0,23.1,0.0,0.0,14,False,True,False
79,SO05,야구,2023-04-02,일,1,0 days 14:00:00,0,23750.0,서울 송파구,6.0,8.0,0.0,24.3,0.0,0.0,14,False,True,False
80,DG03,야구,2023-04-02,일,1,0 days 14:00:00,1,18483.0,대구 수성구,4.0,4.0,0.0,18.8,0.0,0.0,14,False,True,False
81,DG03,야구,2023-04-04,화,0,0 days 18:30:00,1,5936.0,대구 수성구,4.0,10.0,0.0,18.5,0.0,0.0,18,False,True,False
82,SU03,야구,2023-04-04,화,0,0 days 18:30:00,1,11541.2599336384,경기 수원시,18.0,27.0,0.0,15.7,0.0,0.0,18,False,True,False
83,SO04,야구,2023-04-04,화,0,0 days 18:30:00,0,4510.0,서울 구로구,0.0,0.0,0.0,19.8,0.0,0.0,18,False,True,False
84,IC02,야구,2023-04-04,화,0,0 days 18:30:00,1,5809.0,인천 미추홀구,4.0,6.0,0.0,14.3,0.0,0.0,18,False,True,False
85,SO05,야구,2023-04-04,화,0,0 days 18:30:00,1,3924.0,서울 송파구,11.0,14.0,0.0,19.8,0.0,0.0,18,False,True,False
86,DG03,야구,2023-04-05,수,0,0 days 18:30:00,0,16285.528654847569,대구 수성구,7.0,9.0,1.0,16.9,0.0,0.0,18,False,True,False
