날짜,시간,구장,경기  홈팀원정팀,구분
2023.03.08 수,19:00,대전충무체육관,종료  정관장  3  IBK기업은행  2,정규시즌
2023.03.09 목,19:00,서울장충체육관,종료  GS칼텍스  3  페퍼저축은행  0,정규시즌
2023.03.10 금,19:00,김천실내체육관,종료  한국도로공사  3  현대건설  2,정규시즌
2023.03.11 토,14:00,인천삼산월드체육관,종료  흥국생명  3  정관장  0,정규시즌
2023.03.12 일,16:00,서울장충체육관,종료  GS칼텍스  2  IBK기업은행  3,정규시즌
2023.03.13 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.14 화,19:00,페퍼스타디움,종료  페퍼저축은행  0  한국도로공사  3,정규시즌
2023.03.15 수,19:00,화성종합실내체육관,종료  IBK기업은행  0  흥국생명  3,정규시즌
2023.03.16 목,19:00,수원체육관,종료  현대건설  1  정관장  3,정규시즌
2023.03.17 금,19:00,서울장충체육관,종료  GS칼텍스  0  한국도로공사  3,정규시즌
2023.03.18 토,16:00,화성종합실내체육관,종료  IBK기업은행  2  페퍼저축은행  3,정규시즌
2023.03.19 일,16:00,인천삼산월드체육관,종료  흥국생명  3  현대건설  1,정규시즌
2023.03.20 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.21 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.22 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.23 목,19:00,수원체육관,종료  현대건설  1  한국도로공사  3,플레이오프
2023.03.24 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.25 토,14:00,김천실내체육관,종료  한국도로공사  3  현대건설  0,플레이오프
2023.03.26 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.27 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.28 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.29 수,19:00,인천삼산월드체육관,종료  흥국생명  3  한국도로공사  1,챔피언결정전
2023.03.30 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.31 금,19:00,인천삼산월드체육관,종료  흥국생명  3  한국도로공사  0,챔피언결정전
2023.04.01 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.02 일,19:00,김천실내체육관,종료  한국도로공사  3  흥국생명  1,챔피언결정전
2023.04.03 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.04 화,19:00,김천실내체육관,종료  한국도로공사  3  흥국생명  1,챔피언결정전
2023.04.05 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.06 목,19:00,인천삼산월드체육관,종료  흥국생명  2  한국도로공사  3,챔피언결정전
2023.04.07 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
