날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.04.02,일,14:00,고척 스카이돔,한화,6,키움,7,False,페넌트레이스
2023.04.02,일,14:00,인천 SSG 랜더스 필드,KIA,9,SSG,5,True,페넌트레이스
2023.04.02,일,14:00,수원 케이티위즈 파크,LG,10,KT,9,False,페넌트레이스
2023.04.02,일,14:00,잠실야구장,롯데,2,두산,0,True,페넌트레이스
2023.04.02,일,14:00,대구 삼성 라이온즈 파크,NC,6,삼성,8,False,페넌트레이스
2023.04.04,화,18:30,대구 삼성 라이온즈 파크,한화,6,삼성,7,False,페넌트레이스
2023.04.04,화,18:30,수원 케이티위즈 파크,경기취소,KIA,-,KT  -,False,페넌트레이스
2023.04.04,화,18:30,고척 스카이돔,LG,7,키움,1,True,페넌트레이스
2023.04.04,화,18:30,인천 SSG 랜더스 필드,롯데,1,SSG,3,False,페넌트레이스
2023.04.04,화,18:30,잠실야구장,NC,0,두산,1,False,페넌트레이스
2023.04.05,수,18:30,대구 삼성 라이온즈 파크,경기취소,한화,-,삼성  -,True,페넌트레이스
2023.04.05,수,18:30,수원 케이티위즈 파크,경기취소,KIA,-,KT  -,False,페넌트레이스
2023.04.05,수,18:30,고척 스카이돔,LG,1,키움,2,False,페넌트레이스
2023.04.05,수,18:30,인천 SSG 랜더스 필드,경기취소,롯데,-,SSG  -,True,페넌트레이스
2023.04.05,수,18:30,잠실야구장,NC,9,두산,3,True,페넌트레이스
2023.04.06,목,18:30,대구 삼성 라이온즈 파크,한화,8,삼성,1,True,페넌트레이스
2023.04.06,목,18:30,수원 케이티위즈 파크,경기취소,KIA,-,KT  -,False,페넌트레이스
2023.04.06,목,18:30,고척 스카이돔,LG,5,키움,0,True,페넌트레이스
2023.04.06,목,18:30,인천 SSG 랜더스 필드,경기취소,롯데,-,SSG  -,True,페넌트레이스
2023.04.06,목,18:30,잠실야구장,NC,2,두산,6,False,페넌트레이스
2023.04.07,금,18:30,사직야구장,KT,7,롯데,1,True,페넌트레이스
2023.04.07,금,18:30,광주-기아 챔피언스필드,두산,4,KIA,1,True,페넌트레이스
2023.04.07,금,18:30,한화생명 이글스 파크,SSG,7,한화,3,True,페넌트레이스
2023.04.07,금,18:30,잠실야구장,삼성,2,LG,7,False,페넌트레이스
2023.04.07,금,18:30,창원NC파크,키움,0,NC,2,False,페넌트레이스
2023.04.08,토,17:00,사직야구장,KT,7,롯데,3,True,페넌트레이스
2023.04.08,토,17:00,광주-기아 챔피언스필드,두산,6,KIA,7,False,페넌트레이스
2023.04.08,토,17:00,한화생명 이글스 파크,SSG,7,한화,5,True,페넌트레이스
2023.04.08,토,17:00,잠실야구장,삼성,1,LG,2,False,페넌트레이스
2023.04.08,토,17:00,창원NC파크,키움,5,NC,11,True,페넌트레이스
2023.04.09,일,14:00,사직야구장,KT,3,롯데,5,False,페넌트레이스
2023.04.09,일,14:00,광주-기아 챔피언스필드,두산,3,KIA,2,True,페넌트레이스
2023.04.09,일,14:00,한화생명 이글스 파크,SSG,3,한화,0,True,페넌트레이스
2023.04.09,일,14:00,잠실야구장,삼성,2,LG,3,False,페넌트레이스
2023.04.09,일,14:00,창원NC파크,키움,1,NC,6,False,페넌트레이스
2023.04.11,화,18:30,광주-기아 챔피언스필드,한화,5,KIA,4,True,페넌트레이스
2023.04.11,화,18:30,창원NC파크,KT,0,NC,1,False,페넌트레이스
2023.04.11,화,18:30,사직야구장,LG,5,롯데,6,False,페넌트레이스
2023.04.11,화,18:30,대구 삼성 라이온즈 파크,SSG,5,삼성,4,True,페넌트레이스
2023.04.11,화,18:30,잠실야구장,키움,4,두산,6,False,페넌트레이스
2023.04.12,수,18:30,광주-기아 챔피언스필드,한화,0,KIA,2,False,페넌트레이스
2023.04.12,수,18:30,창원NC파크,KT,1,NC,5,False,페넌트레이스
2023.04.12,수,18:30,사직야구장,LG,12,롯데,8,False,페넌트레이스
2023.04.12,수,18:30,대구 삼성 라이온즈 파크,SSG,3,삼성,0,True,페넌트레이스
2023.04.12,수,18:30,잠실야구장,경기취소,키움,-,두산  -,True,페넌트레이스
2023.04.13,목,18:30,광주-기아 챔피언스필드,한화,5,KIA,1,True,페넌트레이스
2023.04.13,목,18:30,창원NC파크,KT,10,NC,3,False,페넌트레이스
2023.04.13,목,18:30,사직야구장,LG,7,롯데,8,False,페넌트레이스
2023.04.13,목,18:30,대구 삼성 라이온즈 파크,SSG,9,삼성,11,True,페넌트레이스
2023.04.13,목,18:30,잠실야구장,키움,9,두산,2,True,페넌트레이스
2023.04.14,금,18:30,수원 케이티위즈 파크,한화,7,KT,7,False,페넌트레이스
2023.04.14,금,18:30,고척 스카이돔,KIA,2,키움,9,False,페넌트레이스
2023.04.14,금,18:30,대구 삼성 라이온즈 파크,롯데,7,삼성,9,False,페넌트레이스
2023.04.14,금,18:30,인천 SSG 랜더스 필드,NC,1,SSG,2,False,페넌트레이스
2023.04.14,금,18:30,잠실야구장,두산,4,LG,13,True,페넌트레이스
2023.04.15,토,17:00,수원 케이티위즈 파크,한화,7,KT,2,True,페넌트레이스
2023.04.15,토,17:00,고척 스카이돔,KIA,1,키움,6,False,페넌트레이스
2023.04.15,토,17:00,대구 삼성 라이온즈 파크,롯데,9,삼성,5,True,페넌트레이스
2023.04.15,토,17:00,인천 SSG 랜더스 필드,NC,1,SSG,0,True,페넌트레이스
2023.04.15,토,17:00,잠실야구장,두산,1,LG,3,False,페넌트레이스
2023.04.16,일,14:00,수원 케이티위즈 파크,한화,2,KT,14,True,페넌트레이스
2023.04.16,일,14:00,고척 스카이돔,KIA,0,키움,2,False,페넌트레이스
2023.04.16,일,14:00,대구 삼성 라이온즈 파크,롯데,1,삼성,9,False,페넌트레이스
2023.04.16,일,14:00,인천 SSG 랜더스 필드,NC,10,SSG,5,False,페넌트레이스
2023.04.16,일,14:00,잠실야구장,두산,10,LG,5,False,페넌트레이스
2023.04.18,화,18:30,사직야구장,KIA,5,롯데,7,False,페넌트레이스
2023.04.18,화,18:30,잠실야구장,NC,6,LG,4,True,페넌트레이스
2023.04.18,화,18:30,한화생명 이글스 파크,두산,2,한화,0,True,페넌트레이스
2023.04.18,화,18:30,수원 케이티위즈 파크,SSG,2,KT,4,False,페넌트레이스
2023.04.18,화,18:30,고척 스카이돔,삼성,6,키움,4,True,페넌트레이스
2023.04.19,수,18:30,사직야구장,KIA,6,롯데,0,True,페넌트레이스
2023.04.19,수,18:30,잠실야구장,NC,5,LG,7,False,페넌트레이스
2023.04.19,수,18:30,한화생명 이글스 파크,두산,6,한화,7,False,페넌트레이스
2023.04.19,수,18:30,수원 케이티위즈 파크,SSG,2,KT,5,False,페넌트레이스
2023.04.19,수,18:30,고척 스카이돔,삼성,9,키움,5,True,페넌트레이스
2023.04.20,목,18:30,사직야구장,KIA,3,롯데,5,False,페넌트레이스
2023.04.20,목,18:30,잠실야구장,NC,4,LG,9,False,페넌트레이스
2023.04.20,목,18:30,한화생명 이글스 파크,두산,5,한화,1,True,페넌트레이스
2023.04.20,목,18:30,수원 케이티위즈 파크,SSG,8,KT,5,True,페넌트레이스
2023.04.20,목,18:30,고척 스카이돔,삼성,1,키움,6,False,페넌트레이스
2023.04.21,금,18:30,잠실야구장,KT,6,두산,10,True,페넌트레이스
2023.04.21,금,18:30,한화생명 이글스 파크,LG,4,한화,2,True,페넌트레이스
2023.04.21,금,18:30,창원NC파크,롯데,3,NC,2,True,페넌트레이스
2023.04.21,금,18:30,광주-기아 챔피언스필드,삼성,4,KIA,5,False,페넌트레이스
2023.04.21,금,18:30,인천 SSG 랜더스 필드,키움,1,SSG,3,False,페넌트레이스
2023.04.22,토,17:00,잠실야구장,KT,1,두산,5,False,페넌트레이스
2023.04.22,토,17:00,한화생명 이글스 파크,LG,3,한화,0,True,페넌트레이스
2023.04.22,토,17:00,창원NC파크,롯데,10,NC,6,False,페넌트레이스
2023.04.22,토,17:00,광주-기아 챔피언스필드,삼성,2,KIA,6,False,페넌트레이스
2023.04.22,토,17:00,인천 SSG 랜더스 필드,키움,2,SSG,3,False,페넌트레이스
2023.04.23,일,14:00,잠실야구장,KT,1,두산,1,False,페넌트레이스
2023.04.23,일,14:00,한화생명 이글스 파크,LG,6,한화,7,False,페넌트레이스
2023.04.23,일,14:00,창원NC파크,롯데,5,NC,3,True,페넌트레이스
2023.04.23,일,14:00,광주-기아 챔피언스필드,삼성,3,KIA,5,False,페넌트레이스
2023.04.23,일,14:00,인천 SSG 랜더스 필드,키움,7,SSG,9,False,페넌트레이스
2023.04.25,화,18:30,사직야구장,경기취소,한화,-,롯데  -,True,페넌트레이스
2023.04.25,화,18:30,고척 스카이돔,KT,0,키움,1,False,페넌트레이스
2023.04.25,화,18:30,광주-기아 챔피언스필드,NC,6,KIA,0,True,페넌트레이스
2023.04.25,화,18:30,대구 삼성 라이온즈 파크,경기취소,두산,-,삼성  -,False,페넌트레이스
2023.04.25,화,18:30,잠실야구장,SSG,4,LG,5,False,페넌트레이스
2023.04.26,수,18:30,사직야구장,한화,1,롯데,8,False,페넌트레이스
2023.04.26,수,18:30,고척 스카이돔,KT,2,키움,13,True,페넌트레이스
2023.04.26,수,18:30,광주-기아 챔피언스필드,NC,0,KIA,6,False,페넌트레이스
2023.04.26,수,18:30,대구 삼성 라이온즈 파크,두산,0,삼성,1,False,페넌트레이스
2023.04.26,수,18:30,잠실야구장,SSG,5,LG,3,True,페넌트레이스
2023.04.27,목,18:30,사직야구장,한화,0,롯데,3,False,페넌트레이스
2023.04.27,목,18:30,고척 스카이돔,KT,1,키움,3,False,페넌트레이스
2023.04.27,목,18:30,광주-기아 챔피언스필드,NC,0,KIA,5,False,페넌트레이스
2023.04.27,목,18:30,대구 삼성 라이온즈 파크,두산,6,삼성,7,False,페넌트레이스
2023.04.27,목,18:30,잠실야구장,SSG,3,LG,6,False,페넌트레이스
2023.04.28,금,18:30,잠실야구장,KIA,4,LG,3,True,페넌트레이스
2023.04.28,금,18:30,한화생명 이글스 파크,NC,6,한화,4,True,페넌트레이스
2023.04.28,금,18:30,인천 SSG 랜더스 필드,두산,1,SSG,4,False,페넌트레이스
2023.04.28,금,18:30,수원 케이티위즈 파크,삼성,10,KT,9,False,페넌트레이스
