날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.11.30,목,19:00,청주실내체육관,KB스타즈,77,신한은행,53,True,정규시즌
2023.12.01,금,19:00,아산이순신실내체육관,우리은행,64,하나은행,54,True,정규시즌
2023.12.02,토,18:00,인천도원실내체육관,신한은행,66,BNK,썸  57,False,정규시즌
2023.12.03,일,18:00,부천실내체육관,하나은행,65,삼성생명,44,True,정규시즌
2023.12.04,월,19:00,부산사직실내체육관,BNK,썸,66,우리은행  84,False,정규시즌
2023.12.06,수,19:00,부천실내체육관,하나은행,78,신한은행,51,True,정규시즌
2023.12.07,목,19:00,청주실내체육관,KB스타즈,74,BNK,썸  63,False,정규시즌
2023.12.08,금,19:00,인천도원실내체육관,신한은행,65,우리은행,68,False,정규시즌
2023.12.09,토,18:00,용인실내체육관,삼성생명,54,KB스타즈,77,False,정규시즌
2023.12.10,일,18:00,부천실내체육관,하나은행,68,BNK,썸  60,False,정규시즌
2023.12.11,월,19:00,인천도원실내체육관,신한은행,52,우리은행,72,False,정규시즌
2023.12.13,수,19:00,청주실내체육관,KB스타즈,72,하나은행,55,True,정규시즌
2023.12.14,목,19:00,부산사직실내체육관,BNK,썸,69,삼성생명  74,True,정규시즌
2023.12.15,금,19:00,인천도원실내체육관,신한은행,63,KB스타즈,84,False,정규시즌
2023.12.16,토,18:00,아산이순신실내체육관,우리은행,60,하나은행,48,True,정규시즌
2023.12.17,일,14:00,부산사직실내체육관,BNK,썸,87,신한은행  76,True,정규시즌
2023.12.18,월,19:00,용인실내체육관,삼성생명,67,KB스타즈,59,True,정규시즌
2023.12.20,수,19:00,아산이순신실내체육관,우리은행,76,BNK,썸  72,False,정규시즌
2023.12.21,목,19:00,부천실내체육관,하나은행,72,신한은행,61,True,정규시즌
2023.12.22,금,19:00,용인실내체육관,삼성생명,50,우리은행,65,False,정규시즌
2023.12.23,토,18:00,청주실내체육관,KB스타즈,68,BNK,썸  55,False,정규시즌
2023.12.24,일,18:00,인천도원실내체육관,신한은행,69,삼성생명,65,True,정규시즌
2023.12.25,월,18:00,청주실내체육관,KB스타즈,73,우리은행,61,True,정규시즌
2023.12.27,수,19:00,용인실내체육관,삼성생명,56,하나은행,51,True,정규시즌
2023.12.28,목,19:00,부산사직실내체육관,BNK,썸,56,우리은행  59,False,정규시즌
2023.12.29,금,19:00,청주실내체육관,KB스타즈,54,신한은행,44,True,정규시즌
2023.12.30,토,18:00,부천실내체육관,하나은행,53,삼성생명,60,False,정규시즌
2023.12.31,일,14:00,부산사직실내체육관,BNK,썸,63,KB스타즈  74,True,정규시즌
2024.01.13,토,14:00,부산사직실내체육관,BNK,썸,65,하나은행  78,False,정규시즌
2024.01.14,일,14:25,아산이순신실내체육관,우리은행,55,KB스타즈,60,False,정규시즌
2024.01.15,월,19:00,용인실내체육관,삼성생명,35,신한은행,43,False,정규시즌
2024.01.17,수,19:00,부천실내체육관,하나은행,46,우리은행,63,False,정규시즌
2024.01.18,목,19:00,부산사직실내체육관,BNK,썸,62,신한은행  77,True,정규시즌
2024.01.19,금,19:00,부천실내체육관,하나은행,74,KB스타즈,77,False,정규시즌
2024.01.20,토,18:00,용인실내체육관,삼성생명,83,BNK,썸  78,False,정규시즌
2024.01.21,일,18:00,아산이순신실내체육관,우리은행,61,신한은행,50,True,정규시즌
2024.01.22,월,19:00,청주실내체육관,KB스타즈,67,삼성생명,57,True,정규시즌
2024.01.24,수,19:00,인천도원실내체육관,신한은행,59,하나은행,57,True,정규시즌
2024.01.25,목,19:00,아산이순신실내체육관,우리은행,78,삼성생명,70,True,정규시즌
2024.01.26,금,19:00,부산사직실내체육관,BNK,썸,62,KB스타즈  84,True,정규시즌
2024.01.27,토,18:00,인천도원실내체육관,신한은행,79,우리은행,76,True,정규시즌
2024.01.28,일,18:00,부천실내체육관,하나은행,58,삼성생명,65,False,정규시즌
2024.01.29,월,19:00,인천도원실내체육관,신한은행,69,BNK,썸  64,False,정규시즌
2024.01.31,수,19:00,용인실내체육관,삼성생명,77,KB스타즈,85,False,정규시즌
