날짜,시간,구장,경기  홈팀원정팀,구분
2023.03.08 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.09 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.10 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.11 토,17:00,아산이순신실내체육관,종료  우리은행  65  신한은행  51,플레이오프
2023.03.12 일,14:00,부산사직실내체육관,종료  BNK 썸  66  삼성생명  56,플레이오프
2023.03.13 월,19:00,인천도원실내체육관,종료  신한은행  58  우리은행  70,플레이오프
2023.03.14 화,19:00,용인실내체육관,종료  삼성생명  70  BNK 썸  81,플레이오프
2023.03.15 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.16 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.17 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.18 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.19 일,14:25,아산이순신실내체육관,종료  우리은행  62  BNK 썸  56,챔피언결정전
2023.03.20 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.21 화,19:00,아산이순신실내체육관,종료  우리은행  84  BNK 썸  67,챔피언결정전
2023.03.22 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.23 목,19:00,부산사직실내체육관,종료  BNK 썸  57  우리은행  64,챔피언결정전
2023.03.24 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.25 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.26 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.27 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.28 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.29 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.30 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.03.31 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.01 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.02 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.03 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.04 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.05 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.06 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.07 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.08 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.09 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.10 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.11 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.12 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.13 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.14 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.15 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.16 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.17 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.18 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.19 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.20 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.21 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.22 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.23 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.24 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.25 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.26 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.27 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.28 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.04.29 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
